,team_size,n_sources,heuristic_size,reliability_mean,reliability_range,n_samples,team_type,accuracy,precision,pool_accuracy,bounded_pool_accuracy,diversity,average
6254,9,15,9,0.55,0.2,10000,diverse,0.6465039091317343,,0.6546420141048676,0.6544122311606263,0.4444444444444443,0.6188841377526514
6255,9,15,9,0.55,0.2,10000,diverse,0.6524464789110875,,0.6546420141048676,0.6547201166058486,0.4444444444444441,0.624275812035591
6256,9,15,9,0.55,0.2,10000,diverse,0.648836181278246,,0.6546420141048676,0.6544708317028127,0.4444444444444441,0.6200483982922056
6257,9,15,9,0.55,0.2,10000,diverse,0.6497174993513781,,0.6546420141048676,0.6546221592039315,0.4444444444444442,0.6225565025357632
6258,9,15,9,0.55,0.2,10000,diverse,0.6468876582849525,,0.6546420141048676,0.6543628838158899,0.4444444444444442,0.6181636786542801
6259,9,15,9,0.55,0.2,10000,diverse,0.6479887599223723,,0.6546420141048676,0.654442408150641,0.4444444444444441,0.6192687006534505
6260,9,15,9,0.55,0.2,10000,diverse,0.6489485198674093,,0.6546420141048676,0.6544973723257935,0.4444444444444442,0.6203115730261567
6261,9,15,9,0.55,0.2,10000,diverse,0.6515278561235666,,0.6546420141048676,0.6545494364283204,0.4444444444444442,0.6212993994282622
6262,9,15,9,0.55,0.2,10000,diverse,0.6610936978786082,,0.6546420141048676,0.6551758548392355,0.4444444444444442,0.6307743217657181
6263,9,15,9,0.55,0.2,10000,diverse,0.6540005054903976,,0.6546420141048676,0.6547899583341854,0.4444444444444441,0.6254801654441208
6264,9,15,9,0.55,0.2,10000,diverse,0.646603489609457,,0.6546420141048676,0.6543600411004566,0.4444444444444441,0.6181380002491015
6265,9,15,9,0.55,0.2,10000,diverse,0.6529858240113037,,0.6546420141048676,0.6547659970067784,0.4444444444444441,0.625084582566157
6266,9,15,9,0.55,0.2,10000,diverse,0.6496874199394527,,0.6546420141048676,0.6545703800567629,0.4444444444444441,0.6215926659386074
6267,9,15,9,0.55,0.2,10000,diverse,0.6453043876608928,,0.6546420141048676,0.6542127591619025,0.4444444444444443,0.6160300743217613
6268,9,15,9,0.55,0.2,10000,diverse,0.6537524797367729,,0.6546420141048676,0.6547401508825752,0.4444444444444442,0.6247364724115279
6269,9,15,9,0.55,0.2,10000,diverse,0.6536687538917891,,0.6546420141048676,0.654616093578517,0.4444444444444442,0.6223660539696071
6270,9,15,9,0.55,0.2,10000,diverse,0.6522005467744344,,0.6546420141048676,0.6547125445094242,0.4444444444444442,0.6237003938555759
6271,9,15,9,0.55,0.2,10000,diverse,0.6562967152564716,,0.6546420141048676,0.6549225844698044,0.4444444444444441,0.6275352143990874
6272,9,15,9,0.55,0.2,10000,diverse,0.6618304672379394,,0.6546420141048676,0.6550413660812493,0.444444444444444,0.6285720149592224
6273,9,15,9,0.55,0.2,10000,diverse,0.6483616143044443,,0.6546420141048676,0.6545158489692248,0.4444444444444443,0.620590726166106
6274,9,15,9,0.55,0.2,10000,diverse,0.6492088650304353,,0.6546420141048676,0.6545967414812962,0.4444444444444441,0.6222164439160907
6275,9,15,9,0.55,0.2,10000,diverse,0.6463165805595249,,0.6546420141048676,0.6544124299478088,0.4444444444444443,0.6190484515275476
6276,9,15,9,0.55,0.2,10000,diverse,0.6533811607918196,,0.6546420141048676,0.6547918155578901,0.4444444444444443,0.6252932193177669
