,team_size,n_sources,heuristic_size,reliability_mean,reliability_range,n_samples,team_type,accuracy_opinion,precision_opinion,accuracy_evidence,accuracy_bounded,diversity,average
5028,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9766353587693264,,0.977065010906729,0.9785013650874712,0.5666666666666667,0.9302909602194788
5029,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9754383803783478,,0.977065010906729,0.978425803878089,0.5722222222222224,0.9292133744855966
5030,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9762996905947182,,0.977065010906729,0.9780072961316814,0.5555555555555558,0.9312144907407408
5031,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9756239139678448,,0.9719526684085908,0.9779026076290888,0.5611111111111114,0.9303680401234568
5032,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9762940124469996,,0.977065010906729,0.977920661684808,0.5500000000000002,0.9320181275720164
5033,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9759044985655064,,0.977065010906729,0.9780702268726412,0.5555555555555556,0.9313382613168724
5034,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9767867460994594,,0.977065010906729,0.97871184740412,0.5722222222222224,0.9297316495198902
5035,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9758750855347064,,0.977065010906729,0.9783258362738302,0.5666666666666669,0.929983578532236
5036,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9765322006079804,,0.977065010906729,0.9785013650874712,0.566666666666667,0.930290209190672
5037,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9758124059293124,,0.977065010906729,0.978137741176392,0.566666666666667,0.929710739026063
5038,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9763857103666116,,0.977065010906729,0.9782813008121846,0.5666666666666668,0.9300394933127571
5039,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9754923638535424,,0.9719526684085908,0.9773887388661764,0.5388888888888889,0.9326963408779152
5040,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9758602897176007,,0.977065010906729,0.978434127507681,0.5722222222222224,0.9291967232510286
5041,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9764640284144622,,0.977065010906729,0.9783711002320056,0.5722222222222223,0.9291314557613172
5042,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9761919751584324,,0.977065010906729,0.9785069587281386,0.5722222222222225,0.9294193389917697
5043,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9764226873203766,,0.977065010906729,0.97871184740412,0.5722222222222225,0.9297477469135802
5044,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9768355887266889,,0.977065010906729,0.97871184740412,0.5722222222222224,0.9297398611111112
5045,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9763038353767334,,0.9719526684085908,0.978385693253958,0.5666666666666665,0.9301081155692728
5046,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9754337701221348,,0.9719526684085908,0.9778263072341652,0.5611111111111113,0.9303236865569272
